ANALYSIS FOR N = 1000

    |    |    MAX_COL_COUNT|     RESIZE_COUNT|
 ISF| MFF|   H1|   H2|   H3|   H1|   H2|   H3|
----------------------------------------------
 0.2| 0.6|  852|   17|   28|   16|   16|   16|
 0.2|0.75|  852|   41|   37|    8|    8|    8|
 0.2| 0.8|  852|   65|   37|    8|    8|    8|
 0.2|0.83|  852|   65|   37|    8|    8|    8|
 0.2|0.85|  852|   67|   37|    8|    8|    8|
 0.2| 0.9|  852|  136|   86|    8|    8|    8|
0.25| 0.6|  852|   28|   19|    8|    8|    8|
0.25|0.75|  852|   65|   42|    8|    8|    8|
0.25| 0.8|  852|   65|   54|    8|    8|    8|
0.25|0.83|  852|   83|   59|    8|    8|    8|
0.25|0.85|  852|   85|   59|    8|    8|    8|
0.25| 0.9|  852|  149|  119|    8|    8|    8|
 0.5| 0.6|  852|   28|   19|    4|    4|    4|
 0.5|0.75|  852|   65|   42|    4|    4|    4|
 0.5| 0.8|  852|   65|   54|    4|    4|    4|
 0.5|0.83|  852|   83|   59|    4|    4|    4|
 0.5|0.85|  852|   85|   59|    4|    4|    4|
 0.5| 0.9|  852|  149|  119|    4|    4|    4|
----------------------------------------------
