
B0: ** 14.0%
B1: ** 14.0%
B2: ***** 28.0%
B3: ** 14.0%
B4:  0.0%
B5: ** 14.0%
B6:  0.0%
B7: ** 14.0%
B8: ** 14.0%
B9:  0.0%
B10: *********** 57.0%
B11: ** 14.0%
B12: ******** 42.0%
B13: ** 14.0%
B14:  0.0%
B15: ***** 28.0%
B16: ******** 42.0%
B17: ** 14.0%
B18: ** 14.0%
B19: ** 14.0%
B20: ** 14.0%
B21: ** 14.0%
B22:  0.0%
B23:  0.0%
B24: ** 14.0%
B25: ** 14.0%
B26: ** 14.0%
B27:  0.0%
B28: ******** 42.0%
B29: ** 14.0%
B30:  0.0%
B31:  0.0%
B32: ** 14.0%
B33:  0.0%
B34:  0.0%
B35: ***** 28.0%
B36: ** 14.0%
B37: ** 14.0%
B38: ***** 28.0%
B39: ******** 42.0%
B40:  0.0%
B41: ** 14.0%
B42: ******** 42.0%
B43: ** 14.0%
B44:  0.0%
B45: ** 14.0%
B46: ***** 28.0%
B47: ******** 42.0%
B48: ** 14.0%
B49: ***** 28.0%
B50: ** 14.0%
B51: ** 14.0%
B52:  0.0%
B53:  0.0%
B54: ******** 42.0%
B55: ** 14.0%
B56: ***** 28.0%
B57: ** 14.0%
B58: ***** 28.0%
B59: ******** 42.0%
B60:  0.0%
B61: ***** 28.0%
B62: ******** 42.0%
B63: ** 14.0%
B64: *********** 57.0%
B65:  0.0%
B66:  0.0%
B67: ** 14.0%
B68:  0.0%
B69:  0.0%
B70:  0.0%
B71: ** 14.0%
B72: ***** 28.0%
B73: ** 14.0%
B74: ***** 28.0%
B75: ***** 28.0%
B76:  0.0%
B77: ******** 42.0%
B78:  0.0%
B79: ***** 28.0%
B80:  0.0%
B81: ******** 42.0%
B82: ***** 28.0%
B83:  0.0%
B84: ***** 28.0%
B85: ***** 28.0%
B86: ***** 28.0%
B87:  0.0%
B88: ******** 42.0%
B89: ** 14.0%
B90:  0.0%
B91:  0.0%
B92: ***** 28.0%
B93: ***** 28.0%
B94: ** 14.0%
B95:  0.0%
B96: ** 14.0%
B97:  0.0%
B98: *********** 57.0%
B99: ** 14.0%
B100: ** 14.0%
B101: ** 14.0%
B102:  0.0%
B103: ***** 28.0%
B104: ** 14.0%
B105: ***** 28.0%
B106: ** 14.0%
B107:  0.0%
B108:  0.0%
B109: ** 14.0%
B110:  0.0%
B111: ** 14.0%
B112:  0.0%
B113: ***** 28.0%
B114: ***** 28.0%
B115:  0.0%
B116: ******** 42.0%
B117:  0.0%
B118:  0.0%
B119: ******** 42.0%
B120:  0.0%
B121: ***** 28.0%
B122: ******** 42.0%
B123: ** 14.0%
B124: ** 14.0%
B125:  0.0%
B126: ** 14.0%
B127: ** 14.0%
B128:  0.0%
B129: ** 14.0%
B130: ******** 42.0%
B131: ** 14.0%
B132: ** 14.0%
B133: ******** 42.0%
B134:  0.0%
B135: ** 14.0%
B136:  0.0%
B137:  0.0%
B138:  0.0%
B139:  0.0%
B140:  0.0%
B141: ** 14.0%
B142: ** 14.0%
B143: ***** 28.0%
B144: ** 14.0%
B145: ***** 28.0%
B146:  0.0%
B147:  0.0%
B148:  0.0%
B149: ** 14.0%
B150:  0.0%
B151: ** 14.0%
B152: ** 14.0%
B153: ** 14.0%
B154: ** 14.0%
B155: ******** 42.0%
B156: ***** 28.0%
B157: ***** 28.0%
B158:  0.0%
B159: ******** 42.0%
B160: ** 14.0%
B161:  0.0%
B162: ** 14.0%
B163: ******** 42.0%
B164: ***** 28.0%
B165:  0.0%
B166:  0.0%
B167: ***** 28.0%
B168: ** 14.0%
B169:  0.0%
B170:  0.0%
B171: ** 14.0%
B172: ** 14.0%
B173: ***** 28.0%
B174: ** 14.0%
B175: ***** 28.0%
B176: ***** 28.0%
B177: ** 14.0%
B178: ** 14.0%
B179: ******** 42.0%
B180: ***** 28.0%
B181: ***** 28.0%
B182:  0.0%
B183: ** 14.0%
B184: ** 14.0%
B185: ** 14.0%
B186:  0.0%
B187: ***** 28.0%
B188: ** 14.0%
B189:  0.0%
B190:  0.0%
B191:  0.0%
B192: ** 14.0%
B193: ***** 28.0%
B194: ** 14.0%
B195: ***** 28.0%
B196:  0.0%
B197:  0.0%
B198: ***** 28.0%
B199: ** 14.0%
B200: ***** 28.0%
B201: *********** 57.0%
B202: *********** 57.0%
B203: ***** 28.0%
B204: ***** 28.0%
B205: ** 14.0%
B206:  0.0%
B207:  0.0%
B208: ***** 28.0%
B209: ***** 28.0%
B210:  0.0%
B211: ** 14.0%
B212: ** 14.0%
B213:  0.0%
B214: ******** 42.0%
B215: ******** 42.0%
B216: ** 14.0%
B217: ** 14.0%
B218: ** 14.0%
B219:  0.0%
B220:  0.0%
B221: ** 14.0%
B222: ***** 28.0%
B223: ** 14.0%
B224:  0.0%
B225: ***** 28.0%
B226: ** 14.0%
B227: ** 14.0%
B228: ******** 42.0%
B229: ** 14.0%
B230:  0.0%
B231:  0.0%
B232:  0.0%
B233: ** 14.0%
B234: ** 14.0%
B235:  0.0%
B236: ** 14.0%
B237: ** 14.0%
B238: ***** 28.0%
B239: *********** 57.0%
B240: ** 14.0%
B241: ** 14.0%
B242: ***** 28.0%
B243:  0.0%
B244:  0.0%
B245:  0.0%
B246: ** 14.0%
B247: ***** 28.0%
B248: ** 14.0%
B249: ******** 42.0%
B250: ***** 28.0%
B251: ** 14.0%
B252: ***** 28.0%
B253:  0.0%
B254:  0.0%
B255: ***** 28.0%
B256: ***** 28.0%
B257: ** 14.0%
B258: ** 14.0%
B259: *********** 57.0%
B260:  0.0%
